Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_2110.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,482,1,1,17,71,cyclic_2_1,cyclic_256_1,unroll_64,pipeline,unroll_16,unroll_64,22.5,1.0,True
workload_2111.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,475,1,1,13,83,block_256_1,cyclic_256_1,pipeline_1,pipeline,unroll_2,unroll_64,24.5,0.2949243219943498,False
workload_2114.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,447,1,1,18,73,block_4_1,cyclic_256_1,unroll_16,pipeline,unroll_16,unroll_64,23.25,0.34381013053872034,False
workload_2116.cpp,xczu7ev-ffvc1156-2-e,3.33,16.17842538,100,2,1,3,12,block_2_1,block_4_1,unroll_64,unroll_2,unroll_16,unroll_64,4.5,0.6538137398777871,False
workload_2117.cpp,xczu7ev-ffvc1156-2-e,3.33,3.79501785,106,5,1,1,5,cyclic_8_1,cyclic_16_1,unroll_16,pipeline_1,unroll_8,pipeline_1,3.0,1.0,True
workload_2118.cpp,xczu7ev-ffvc1156-2-e,3.33,3.70644651,108,5,1,1,9,cyclic_16_1,block_64_1,unroll_32,pipeline,unroll_32,pipeline_1,4.0,0.9287022631308327,False
workload_2119.cpp,xczu7ev-ffvc1156-2-e,3.33,4.00962969,115,4,1,1,5,cyclic_4_1,cyclic_16_1,unroll_16,pipeline_1,unroll_4,pipeline_1,2.75,0.9761719145139224,False
workload_2120.cpp,xczu7ev-ffvc1156-2-e,3.33,4.01303961,124,1,1,1,10,cyclic_64_1,block_4_1,unroll_16,pipeline,unroll_32,pipeline_1,3.25,0.9553235174281074,False
workload_2121.cpp,xczu7ev-ffvc1156-2-e,3.33,4.44567321,127,11,1,4,8,cyclic_2_1,block_32_1,unroll_4,pipeline,unroll_32,pipeline,6.0,0.8411698980086956,False
workload_2122.cpp,xczu7ev-ffvc1156-2-e,3.33,4.44226662,137,1,1,3,10,cyclic_2_1,cyclic_256_1,pipeline_1,pipeline,unroll_64,pipeline,3.75,0.9264570211399207,False
workload_2123.cpp,xczu7ev-ffvc1156-2-e,3.33,4.0062231,121,1,1,3,10,cyclic_4_1,cyclic_256_1,unroll_4,pipeline,unroll_4,pipeline,3.75,0.9343954682985739,False
workload_2124.cpp,xczu7ev-ffvc1156-2-e,3.33,51.53588586,259,1,1,4,12,cyclic_256_1,block_2_1,unroll_32,unroll_2,unroll_64,unroll_2,4.5,0.20306343156369616,False
workload_2125.cpp,xczu7ev-ffvc1156-2-e,3.33,17.981433900000003,289,1,1,13,38,cyclic_128_1,cyclic_256_1,unroll_32,unroll_4,unroll_16,unroll_64,13.25,0.3688572831400083,False
workload_2126.cpp,xczu7ev-ffvc1156-2-e,3.33,3.58040268,356,1,1,7,24,cyclic_256_1,cyclic_256_1,unroll_32,pipeline,unroll_32,pipeline_1,8.25,1.0,True
workload_2127.cpp,xczu7ev-ffvc1156-2-e,3.33,3.58040268,361,1,1,7,24,cyclic_256_1,cyclic_256_1,unroll_2,pipeline,unroll_4,pipeline_1,8.25,1.0,True
workload_2128.cpp,xczu7ev-ffvc1156-2-e,3.33,4.44567321,117,2,1,2,7,cyclic_2_1,block_4_1,pipeline,pipeline,unroll_64,pipeline,3.0,0.9576234053552157,False
workload_2130.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497467,514,2,1,11,74,cyclic_64_1,block_8_1,pipeline,pipeline,unroll_16,unroll_64,22.0,1.0,True
workload_2131.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,514,3,1,18,73,block_8_1,cyclic_64_1,pipeline_1,pipeline,unroll_4,unroll_64,23.75,0.32360065126600845,False
workload_2132.cpp,xczu7ev-ffvc1156-2-e,3.33,43.6751811,64,1,1,1,2,block_2_1,block_2_1,unroll_4,unroll_4,unroll_4,unroll_2,1.25,0.36593344022606733,False
workload_2133.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,539,1,1,18,71,cyclic_4_1,cyclic_256_1,unroll_4,pipeline,unroll_32,unroll_64,22.75,0.36489449837958265,False
workload_2134.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,545,1,1,17,71,cyclic_2_1,cyclic_256_1,unroll_32,pipeline,unroll_8,unroll_64,22.5,1.0,True
workload_2135.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,482,1,1,18,73,block_4_1,cyclic_128_1,unroll_16,pipeline,unroll_64,unroll_64,23.25,0.34381013053872034,False
workload_2136.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497467,631,1,1,13,82,block_256_1,cyclic_8_1,pipeline_1,pipeline_1,unroll_8,unroll_64,24.25,0.304265844135753,False
workload_2137.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,641,3,1,15,74,cyclic_2_1,block_8_1,unroll_64,pipeline_1,unroll_2,unroll_64,23.25,0.3438121963507101,False
workload_2138.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,531,1,1,18,73,block_4_1,cyclic_64_1,unroll_8,pipeline_1,unroll_16,unroll_64,23.25,0.34381013053872034,False
workload_2139.cpp,xczu7ev-ffvc1156-2-e,3.33,3.79161126,119,3,1,3,10,cyclic_8_1,cyclic_256_1,pipeline,pipeline,unroll_32,pipeline,4.25,0.9175505181504625,False
workload_2140.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,555,2,1,12,78,block_4_1,block_2_1,unroll_4,pipeline,unroll_32,unroll_64,23.25,0.3438121963507101,False
workload_2141.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,556,3,1,15,74,cyclic_4_1,block_4_1,unroll_2,pipeline,unroll_16,unroll_64,23.25,0.3438121963507101,False
workload_2142.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,610,1,1,15,76,cyclic_2_1,block_2_1,unroll_64,pipeline_1,unroll_64,unroll_64,23.25,0.3438121963507101,False
workload_2143.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,477,3,1,18,70,cyclic_8_1,cyclic_256_1,pipeline,pipeline,unroll_2,unroll_64,23.0,0.3542438315301565,False
