Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Area,Weight,is_pareto
workload_4014.cpp,xcu200-fsgd2104-2-e,3.33,10.81737513,166,1,1,1,1,block_8_1,cyclic_128_1,complete_1,pipeline_1,pipeline,pipeline,unroll_64,unroll,1.0,0.959151556433476,False
workload_4015.cpp,xcu200-fsgd2104-2-e,3.33,11.76617538,63,1,1,1,1,cyclic_8_1,block_16_1,complete_1,unroll_16,pipeline,unroll_8,unroll_32,pipeline,1.0,0.9483454411131942,False
workload_4016.cpp,xcu200-fsgd2104-2-e,3.33,10.77539049,455,1,1,1,2,cyclic_8_1,cyclic_4_1,complete_1,unroll_4,pipeline,unroll_32,pipeline_1,pipeline,1.25,0.9289004657050844,False
workload_4017.cpp,xcu200-fsgd2104-2-e,3.33,10.7753805,468,1,1,1,2,cyclic_8_1,cyclic_128_1,complete_1,pipeline_1,pipeline,unroll_64,pipeline,pipeline,1.25,0.928900528791672,False
workload_4018.cpp,xcu200-fsgd2104-2-e,3.33,83.96004257999999,81,1,1,1,1,cyclic_8_1,block_16_1,complete_1,unroll_4,unroll_2,unroll_16,unroll_64,pipeline,1.0,0.32668626599620293,False
workload_4019.cpp,xcu200-fsgd2104-2-e,3.33,11.23230978,69,1,1,1,1,cyclic_8_1,block_16_1,complete_1,pipeline_1,pipeline,unroll_32,unroll_8,pipeline_1,1.0,0.954417351182843,False
workload_4020.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,554,1,1,1,2,block_4_1,block_128_1,complete_1,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,1.25,0.9386739190570788,False
workload_4021.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,576,1,1,1,3,block_128_1,cyclic_4_1,complete_1,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,1.5,0.8828827841573706,False
workload_4022.cpp,xcu200-fsgd2104-2-e,3.33,10.8094797,584,1,9,5,9,cyclic_128_1,cyclic_128_1,complete_1,unroll_64,unroll_2,unroll_64,pipeline_1,pipeline_1,6.0,0.1998738206086651,False
workload_4023.cpp,xcu200-fsgd2104-2-e,3.33,8.75671785,591,1,1,1,2,cyclic_128_1,block_16_1,complete_1,pipeline,pipeline,unroll_2,pipeline_1,pipeline_1,1.25,0.9386738879301227,False
workload_4024.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,620,1,1,1,3,block_64_1,cyclic_128_1,complete_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1.5,0.8828827841573706,False
workload_4025.cpp,xcu200-fsgd2104-2-e,3.33,10.87298946,86,1,1,1,1,block_64_1,cyclic_2_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_32,pipeline,1.0,0.9585162645609334,False
workload_4026.cpp,xcu200-fsgd2104-2-e,3.33,10.9842381,54,1,1,1,1,block_8_1,cyclic_4_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_16,unroll,1.0,0.9572461576939009,False
workload_4027.cpp,xcu200-fsgd2104-2-e,3.33,14.28419817,58,1,1,1,1,cyclic_8_1,block_32_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,1.0,0.9199986564514873,False
workload_4028.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,613,1,1,1,2,cyclic_64_1,block_128_1,complete_1,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,1.25,0.9386739190570788,False
workload_4029.cpp,xcu200-fsgd2104-2-e,3.33,7.28363241,573,1,1,1,2,cyclic_64_1,cyclic_64_1,complete_1,pipeline,pipeline,pipeline_1,pipeline,pipeline,1.25,0.9410159326800708,False
workload_4030.cpp,xcu200-fsgd2104-2-e,3.33,10.87298946,54,1,1,1,1,cyclic_8_1,cyclic_4_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_32,pipeline,1.0,0.9585162645609334,False
workload_4031.cpp,xcu200-fsgd2104-2-e,3.33,87.5007117,154,1,1,1,1,cyclic_64_1,cyclic_128_1,complete_1,unroll_2,unroll_2,pipeline_1,unroll_32,pipeline_1,1.0,0.30638319584078766,False
workload_4032.cpp,xcu200-fsgd2104-2-e,3.33,8.75671785,611,1,1,1,3,cyclic_128_1,block_128_1,complete_1,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,1.5,0.8828827686715207,False
workload_4033.cpp,xcu200-fsgd2104-2-e,3.33,10.83090825,114,1,1,1,1,block_64_1,block_2_1,complete_1,pipeline,pipeline,unroll_8,unroll_64,pipeline_1,1.0,0.958996943689291,False
workload_4034.cpp,xcu200-fsgd2104-2-e,3.33,14.46684201,72,1,1,1,1,block_16_1,block_2_1,complete_1,unroll_8,pipeline_1,unroll_2,unroll_32,pipeline_1,1.0,0.9179612691786005,False
workload_4035.cpp,xcu200-fsgd2104-2-e,3.33,10.83100482,347,1,1,1,2,cyclic_128_1,block_128_1,complete_1,pipeline_1,pipeline,unroll_4,unroll_64,pipeline,1.25,0.9285473983210858,False
workload_4036.cpp,xcu200-fsgd2104-2-e,3.33,10.7753805,501,1,1,1,3,block_4_1,cyclic_128_1,complete_1,pipeline_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1.5,0.8777355607687687,False
workload_4037.cpp,xcu200-fsgd2104-2-e,3.33,15.157127700000002,56,1,1,1,1,cyclic_8_1,block_16_1,complete_1,pipeline_1,pipeline,unroll_8,unroll_2,pipeline_1,1.0,0.9102840385283074,False
workload_4038.cpp,xcu200-fsgd2104-2-e,3.33,12.48035049,577,1,7,4,7,block_2_1,cyclic_8_1,complete_1,unroll_64,pipeline_1,unroll_64,pipeline_1,pipeline_1,4.75,0.32409960018092265,False
workload_4039.cpp,xcu200-fsgd2104-2-e,3.33,10.77539049,499,1,1,1,3,cyclic_32_1,block_128_1,complete_1,unroll_4,unroll_2,unroll_32,pipeline_1,unroll,1.5,0.8777355257784505,False
workload_4040.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,594,1,1,1,2,cyclic_128_1,block_16_1,complete_1,pipeline_1,pipeline,unroll_4,pipeline_1,unroll,1.25,0.9386739190570788,False
workload_4041.cpp,xcu200-fsgd2104-2-e,3.33,14.35793769,92,1,1,1,1,block_16_1,cyclic_64_1,complete_1,unroll_8,pipeline,pipeline_1,unroll_32,pipeline,1.0,0.9191757889937637,False
