Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_227.cpp,xczu7ev-ffvc1156-2-e,10.0,442.39039,118,47,15,5,14,block_64_1,block_4_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,20.25,0.44020788462592964,False
workload_228.cpp,xczu7ev-ffvc1156-2-e,10.0,568.54469,217,32,1,15,49,block_4_1,cyclic_64_1,complete_1,unroll_2,unroll_4,unroll_8,24.25,0.261559541487128,False
workload_229.cpp,xczu7ev-ffvc1156-2-e,10.0,409.05135,245,27,2,5,40,cyclic_128_1,cyclic_16_1,block_2_1,unroll_2,unroll_2,unroll_64,18.5,0.5167378442691677,False
workload_230.cpp,xczu7ev-ffvc1156-2-e,10.0,382.92655,113,47,14,4,14,block_64_1,cyclic_16_1,cyclic_4_1,unroll_2,unroll_2,unroll_4,19.75,0.5015811412174662,False
workload_231.cpp,xczu7ev-ffvc1156-2-e,10.0,514.6291,316,26,1,28,58,block_4_1,cyclic_4_1,cyclic_4_1,unroll_2,unroll_8,unroll_8,28.25,0.22529479703735047,False
workload_232.cpp,xczu7ev-ffvc1156-2-e,10.0,46.22126,333,33,1,13,43,cyclic_128_1,block_2_1,complete_1,unroll_2,pipeline,unroll_8,22.5,0.5710444931292691,False
workload_233.cpp,xczu7ev-ffvc1156-2-e,10.0,391.58931,494,26,1,5,21,cyclic_4_1,cyclic_32_1,complete_1,unroll,unroll_2,unroll_2,13.25,0.6962596045065891,False
workload_234.cpp,xczu7ev-ffvc1156-2-e,10.0,689.9577,647,27,1,14,72,cyclic_32_1,cyclic_4_1,complete_1,unroll_4,unroll_32,pipeline_1,28.5,0.14651326431958356,False
workload_235.cpp,xczu7ev-ffvc1156-2-e,10.0,301.21348,1071,46,56,20,47,block_64_1,block_2_1,complete_1,unroll,unroll_2,unroll_2,42.25,0.16021842849635382,False
workload_240.cpp,xczu7ev-ffvc1156-2-e,10.0,306.38254,42,24,1,1,3,cyclic_2_1,cyclic_2_1,block_2_1,unroll_2,unroll_2,pipeline_1,7.25,0.9884737858835566,False
workload_241.cpp,xczu7ev-ffvc1156-2-e,10.0,420.87581,42,26,1,1,5,cyclic_4_1,cyclic_8_1,complete_1,unroll_2,unroll_2,unroll_4,8.25,0.740770885715373,False
workload_242.cpp,xczu7ev-ffvc1156-2-e,10.0,397.73631,42,26,1,1,4,cyclic_8_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,pipeline_1,8.0,0.7884293175280797,False
workload_243.cpp,xczu7ev-ffvc1156-2-e,10.0,407.73037,42,26,1,1,5,cyclic_4_1,cyclic_32_1,complete_1,unroll_2,unroll_2,pipeline,8.25,0.7665637099704701,False
workload_244.cpp,xczu7ev-ffvc1156-2-e,10.0,298.88415,49,28,1,3,9,block_8_1,block_2_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,10.25,0.9147325755977144,False
workload_245.cpp,xczu7ev-ffvc1156-2-e,10.0,449.29679,49,26,1,1,6,cyclic_8_1,cyclic_4_1,cyclic_2_1,unroll_2,unroll_4,pipeline_1,8.5,0.6849183242078013,False
workload_246.cpp,xczu7ev-ffvc1156-2-e,10.0,307.03787,49,25,1,1,6,cyclic_8_1,cyclic_2_1,cyclic_2_1,unroll_4,unroll_2,pipeline_1,8.25,0.9619651794612449,False
workload_247.cpp,xczu7ev-ffvc1156-2-e,10.0,398.08974,57,27,1,2,9,cyclic_128_1,block_8_1,complete_1,unroll_2,unroll_2,pipeline,9.75,0.7618715982544061,False
workload_248.cpp,xczu7ev-ffvc1156-2-e,10.0,389.58255,69,47,7,2,9,block_64_1,cyclic_16_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,16.25,0.6033973375610079,False
workload_249.cpp,xczu7ev-ffvc1156-2-e,10.0,308.4417,69,47,7,18,34,block_64_1,cyclic_4_1,complete_1,unroll_4,unroll_2,pipeline_1,26.5,0.3661049900837239,False
workload_250.cpp,xczu7ev-ffvc1156-2-e,10.0,551.01182,79,25,1,3,14,cyclic_4_1,cyclic_4_1,cyclic_2_1,unroll_2,unroll_8,unroll_8,10.75,0.49469983156845576,False
workload_251.cpp,xczu7ev-ffvc1156-2-e,10.0,307.03791,45,26,1,1,4,cyclic_32_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_2,pipeline,8.0,0.9713800773422355,False
workload_252.cpp,xczu7ev-ffvc1156-2-e,10.0,306.73614,41,25,1,2,5,cyclic_2_1,block_4_1,block_2_1,unroll_2,unroll_2,pipeline_1,8.25,0.9623889078918203,False
workload_253.cpp,xczu7ev-ffvc1156-2-e,10.0,398.08991,44,28,1,2,5,cyclic_16_1,block_8_1,block_4_1,unroll_2,unroll_2,pipeline_1,9.0,0.776166885887221,False
workload_254.cpp,xczu7ev-ffvc1156-2-e,10.0,308.4417,69,46,7,18,34,block_64_1,cyclic_2_1,complete_1,unroll_4,unroll_2,pipeline_1,26.25,0.37010325653378995,False
workload_255.cpp,xczu7ev-ffvc1156-2-e,10.0,486.99583,50,26,1,1,7,cyclic_16_1,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_2,8.75,0.6152919949162863,False
workload_256.cpp,xczu7ev-ffvc1156-2-e,10.0,407.7305,50,26,1,1,7,cyclic_4_1,cyclic_16_1,block_2_1,unroll_4,unroll_2,pipeline,8.75,0.761334505981691,False
workload_257.cpp,xczu7ev-ffvc1156-2-e,10.0,737.67178,81,26,1,3,16,cyclic_2_1,cyclic_8_1,cyclic_2_1,unroll_4,unroll_8,unroll_2,11.5,0.26004955127084517,False
workload_258.cpp,xczu7ev-ffvc1156-2-e,10.0,301.21348,140,26,1,7,26,cyclic_16_1,block_2_1,complete_1,unroll,unroll_2,unroll_2,15.0,0.72287235058659,False
workload_259.cpp,xczu7ev-ffvc1156-2-e,10.0,414.87531,141,42,1,2,27,cyclic_8_1,cyclic_64_1,block_2_1,unroll_4,unroll_2,unroll_8,18.0,0.5261129149304805,False
workload_260.cpp,xczu7ev-ffvc1156-2-e,10.0,397.0809,50,26,1,1,6,cyclic_4_1,cyclic_8_1,block_4_1,unroll_4,unroll_2,pipeline_1,8.5,0.785113550555293,False
workload_261.cpp,xczu7ev-ffvc1156-2-e,10.0,382.27118,59,26,1,5,12,block_2_1,block_32_1,block_4_1,unroll_2,unroll_2,unroll_4,11.0,0.7683411643224843,False
workload_262.cpp,xczu7ev-ffvc1156-2-e,10.0,306.73597,44,24,1,2,5,cyclic_4_1,block_2_1,complete_1,unroll_2,unroll_2,pipeline,8.0,0.9718846980087092,False
workload_263.cpp,xczu7ev-ffvc1156-2-e,10.0,300.55828,187,25,4,19,32,block_2_1,block_4_1,cyclic_4_1,unroll,unroll_2,unroll_2,20.0,0.5497081877710919,False
workload_264.cpp,xczu7ev-ffvc1156-2-e,10.0,382.27109,70,31,1,5,14,block_2_1,block_64_1,complete_1,unroll_2,unroll_2,unroll_4,12.75,0.7236850542156917,False
workload_265.cpp,xczu7ev-ffvc1156-2-e,10.0,307.39141,124,27,2,11,30,cyclic_32_1,block_4_1,block_2_1,unroll,unroll_2,pipeline_1,17.5,0.6285968836426351,False
workload_266.cpp,xczu7ev-ffvc1156-2-e,10.0,317.69737,258,25,1,6,37,cyclic_4_1,cyclic_4_1,complete_1,unroll_4,unroll_2,unroll_64,17.25,0.6302727387133782,False
workload_267.cpp,xczu7ev-ffvc1156-2-e,10.0,288.90006,298,46,28,8,20,block_64_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_8,25.5,0.39668941583390394,False
workload_268.cpp,xczu7ev-ffvc1156-2-e,10.0,449.29652,227,26,1,8,36,cyclic_32_1,cyclic_2_1,complete_1,unroll,unroll_4,pipeline_1,17.75,0.5007639833413914,False
workload_269.cpp,xczu7ev-ffvc1156-2-e,10.0,288.90015,305,47,30,9,22,block_64_1,block_4_1,cyclic_4_1,unroll_2,unroll_2,unroll_8,27.0,0.3705047655145913,False
workload_270.cpp,xczu7ev-ffvc1156-2-e,10.0,46.22126,382,33,1,13,43,cyclic_128_1,block_2_1,complete_1,unroll_2,pipeline,pipeline_1,22.5,0.5710444931292691,False
workload_271.cpp,xczu7ev-ffvc1156-2-e,10.0,285.20798,854,24,1,53,76,block_2_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_64,38.5,0.21112619551379092,False
workload_272.cpp,xczu7ev-ffvc1156-2-e,10.0,398.08981,972,43,2,11,70,cyclic_32_1,block_128_1,cyclic_2_1,unroll,unroll_2,pipeline_1,31.5,0.24300601476404732,False
workload_273.cpp,xczu7ev-ffvc1156-2-e,10.0,14.33757,1136,24,1,27,76,block_2_1,block_2_1,complete_1,unroll_2,pipeline,unroll_16,32.0,0.4229484273070032,False
workload_274.cpp,xczu7ev-ffvc1156-2-e,10.0,301.21348,3299,46,56,20,66,block_128_1,block_2_1,complete_1,unroll,unroll_2,unroll_2,47.0,0.11813070574410908,False
workload_278.cpp,xczu7ev-ffvc1156-2-e,10.0,306.38237,42,24,1,1,4,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,7.5,0.9851336157475474,False
