Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Area,Weight,is_pareto
workload_512.cpp,xczu7ev-ffvc1156-2-e,10.0,102.44003,124,42,13,14,25,cyclic_4_1,block_8_1,block_16_1,pipeline,pipeline,pipeline,unroll_64,unroll_64,unroll_4,unroll,pipeline_1,unroll_2,23.5,0.845032756983106,False
workload_513.cpp,xczu7ev-ffvc1156-2-e,10.0,681.67322,90,50,1,2,12,cyclic_2_1,block_32_1,block_32_1,pipeline,pipeline,unroll_2,unroll_64,unroll_64,unroll_4,unroll,pipeline_1,unroll_8,16.25,0.9393191133916743,False
workload_514.cpp,xczu7ev-ffvc1156-2-e,10.0,112.9673,133,40,7,9,24,cyclic_2_1,cyclic_16_1,block_32_1,unroll,pipeline,pipeline_1,pipeline,unroll_64,unroll_8,pipeline_1,pipeline,unroll_2,20.0,0.8920221897280043,False
workload_515.cpp,xczu7ev-ffvc1156-2-e,10.0,663.32314,98,58,1,5,20,cyclic_32_1,cyclic_2_1,block_128_1,pipeline,pipeline,unroll_4,unroll_64,unroll_64,unroll_8,pipeline_1,pipeline,unroll_8,21.0,0.8648997341004079,False
workload_516.cpp,xczu7ev-ffvc1156-2-e,10.0,92.00349,109,58,68,28,53,cyclic_32_1,block_8_1,block_64_1,unroll,pipeline_1,pipeline,unroll_32,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_8,51.75,0.5159216801163828,False
workload_518.cpp,xczu7ev-ffvc1156-2-e,10.0,113.04858,77,40,7,8,14,cyclic_2_1,cyclic_64_1,block_64_1,pipeline,pipeline_1,pipeline,unroll_16,unroll_64,unroll_8,unroll_4,pipeline,unroll_8,17.25,0.929876097644963,False
workload_519.cpp,xczu7ev-ffvc1156-2-e,10.0,3904.73693,60,41,1,1,5,cyclic_2_1,cyclic_4_1,cyclic_4_1,unroll,pipeline,unroll_2,unroll_32,unroll_64,unroll_8,pipeline_1,unroll,unroll_2,12.0,0.8739236749329742,False
workload_520.cpp,xczu7ev-ffvc1156-2-e,10.0,681.67322,70,41,1,2,7,cyclic_2_1,block_4_1,block_64_1,pipeline,pipeline_1,unroll_2,unroll_64,unroll_64,unroll_16,unroll_16,pipeline,unroll_8,12.75,1.0,True
workload_521.cpp,xczu7ev-ffvc1156-2-e,10.0,668.56602,80,42,1,4,10,cyclic_4_1,cyclic_2_1,block_128_1,pipeline,pipeline,unroll_4,unroll_64,unroll_64,unroll_4,unroll_16,pipeline_1,unroll_2,14.25,0.9722350953556858,False
workload_522.cpp,xczu7ev-ffvc1156-2-e,10.0,668.56602,80,42,1,4,10,cyclic_4_1,cyclic_2_1,block_128_1,pipeline,pipeline,unroll_4,unroll_64,unroll_64,unroll_8,unroll_4,pipeline,unroll_2,14.25,0.9722350953556858,False
workload_523.cpp,xczu7ev-ffvc1156-2-e,10.0,681.67578,69,41,1,2,7,cyclic_2_1,block_4_1,block_32_1,pipeline,pipeline,unroll_2,unroll_32,unroll_64,unroll_8,unroll_4,pipeline,unroll_2,12.75,0.9963341857418564,False
workload_524.cpp,xczu7ev-ffvc1156-2-e,10.0,550.59864,139,58,4,6,30,cyclic_32_1,cyclic_2_1,cyclic_8_1,pipeline,pipeline_1,unroll_2,pipeline,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_8,24.5,0.8210586417381782,False
workload_525.cpp,xczu7ev-ffvc1156-2-e,10.0,527.00634,125,48,6,6,21,cyclic_2_1,block_8_1,block_32_1,unroll,pipeline,unroll_2,pipeline_1,unroll_64,unroll_8,unroll_4,pipeline,unroll_8,20.25,0.8786614521691831,False
workload_526.cpp,xczu7ev-ffvc1156-2-e,10.0,170.3402,77,41,7,9,14,cyclic_2_1,block_4_1,block_32_1,unroll,pipeline,pipeline,unroll_64,unroll_8,unroll_16,pipeline_1,pipeline,unroll_8,17.75,0.9217596614974904,False
workload_527.cpp,xczu7ev-ffvc1156-2-e,10.0,597.7897,69,42,1,3,8,cyclic_2_1,cyclic_2_1,cyclic_2_1,pipeline,pipeline_1,unroll_2,unroll_32,unroll_64,unroll_8,unroll_4,pipeline,unroll_2,13.5,0.9849144471111289,False
workload_528.cpp,xczu7ev-ffvc1156-2-e,10.0,587.2988,141,60,1,5,27,cyclic_32_1,block_8_1,cyclic_2_1,pipeline,pipeline,unroll_2,pipeline,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_2,23.25,0.8366761670550458,False
