Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_3852.cpp,xcu200-fsgd2104-2-e,5.0,69.474635,72,5,1,1,1,cyclic_32_1,block_4_2,block_2_1,complete_1,cyclic_2_1,cyclic_2_1,unroll_2,pipeline,pipeline_1,pipeline_1,2.0,0.950863169235481,False
workload_3853.cpp,xcu200-fsgd2104-2-e,5.0,207.79511,272,1,1,1,3,cyclic_2_1,complete_2,cyclic_16_1,complete_1,cyclic_4_1,cyclic_2_1,unroll_4,unroll_2,unroll_8,unroll_4,1.5,0.21100348912244193,False
workload_3854.cpp,xcu200-fsgd2104-2-e,5.0,66.52595,100,2,2,3,3,cyclic_2_1,block_2_2,block_2_2,complete_1,block_2_1,cyclic_2_1,unroll_8,unroll_8,pipeline,pipeline_1,2.5,0.9270976126901631,False
workload_3855.cpp,xcu200-fsgd2104-2-e,5.0,66.85367,154,1,2,6,5,cyclic_16_1,block_2_2,block_2_2,complete_1,cyclic_2_1,complete_1,unroll_32,pipeline,pipeline_1,unroll_2,3.5,0.8579651226802493,False
workload_3856.cpp,xcu200-fsgd2104-2-e,5.0,69.14623,81,2,2,1,2,cyclic_2_1,cyclic_2_1,block_2_2,complete_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_2,pipeline_1,pipeline_1,1.75,0.9653914648819202,False
workload_3857.cpp,xcu200-fsgd2104-2-e,5.0,86.54196,241,6,1,3,8,cyclic_32_1,block_4_2,block_4_2,complete_1,cyclic_2_1,complete_1,unroll_2,unroll_8,unroll_32,pipeline_1,4.5,0.7411559723171433,False
workload_3858.cpp,xcu200-fsgd2104-2-e,5.0,67.5064,242,3,3,2,4,cyclic_4_1,cyclic_2_1,block_2_2,block_2_1,block_8_1,block_8_1,unroll_8,pipeline,unroll_4,unroll,3.0,0.8916088006936114,False
workload_3859.cpp,xcu200-fsgd2104-2-e,5.0,74.391175,352,5,1,3,5,cyclic_4_1,block_64_1,block_2_2,cyclic_2_1,cyclic_2_1,complete_1,unroll_2,pipeline,pipeline_1,pipeline_1,3.5,0.8434089333538606,False
workload_3860.cpp,xcu200-fsgd2104-2-e,5.0,118.379045,587,1,1,5,15,cyclic_16_1,complete_2,block_2_1,cyclic_4_1,cyclic_4_1,complete_1,unroll_8,pipeline,unroll_16,pipeline,5.5,0.5491196650746292,False
workload_3861.cpp,xcu200-fsgd2104-2-e,5.0,78.688805,960,1,1,12,18,cyclic_16_1,block_2_2,block_2_1,cyclic_2_1,cyclic_2_1,cyclic_2_1,unroll_8,pipeline,unroll_32,pipeline,8.0,0.5753276311875772,False
