Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,32.46809,351,16,1,2,34,cyclic_4_1,block_32_1,block_2_1,block_16_1,unroll_8,unroll_8,unroll_8,pipeline,13.25,0.7734996213045477,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,32.70219,113,22,1,2,11,cyclic_64_1,cyclic_64_1,block_4_1,block_2_1,unroll_4,unroll_32,pipeline_1,unroll_16,9.0,0.8514795345424621,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,41.44063,472,15,1,30,36,cyclic_32_1,cyclic_8_1,cyclic_64_1,block_16_1,unroll_2,unroll_32,unroll_4,unroll_64,20.5,0.37739019033895627,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,46.66777,458,23,1,2,49,cyclic_64_1,cyclic_64_1,cyclic_2_1,cyclic_16_1,unroll_8,unroll_16,unroll_16,unroll_2,18.75,0.26597397463051,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,43.33758,918,29,1,13,69,block_8_1,block_128_1,block_4_1,block_8_1,unroll,unroll_4,unroll_2,unroll_16,28.0,0.2316724077294049,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,32.63199,269,31,1,1,34,cyclic_64_1,cyclic_4_1,block_32_1,cyclic_16_1,unroll_2,unroll_16,unroll_16,unroll_16,16.75,0.6896347016118287,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,38.01863,68,12,1,1,7,block_32_1,cyclic_16_1,block_4_1,block_2_1,unroll_2,unroll_4,unroll_4,unroll_2,5.25,0.6672740282938018,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43747,79,20,1,2,11,block_2_1,block_2_1,cyclic_128_1,block_32_1,unroll_2,unroll_2,pipeline,pipeline_1,8.5,0.8706327505390026,False
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,41.85497,977,16,1,5,82,block_4_1,cyclic_64_1,cyclic_64_1,cyclic_4_1,unroll_8,unroll_16,unroll_16,unroll_2,26.0,0.28414521670520154,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,31.87376,334,20,1,1,39,block_16_1,block_32_1,cyclic_8_1,cyclic_16_1,unroll_8,unroll,unroll_16,unroll_8,15.25,0.7505889478992307,False
