app_name,device_id,clock_period_nsec,design_latency_msec,bram_utilization,dsp_utilization,ff_utilization,lut_utilization,synthesis_time_sec
rodinia_lc_gicov_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,47.744.041.833,0,0,0,0,34.790.605.306.625.300
rodinia-kmeans-0-baseline,xcu200-fsgd2104-2-e,10,213.811.205,0,0,0,0,3.625.373.840.332.030
rodinia-kmeans-0-baseline,xcu200-fsgd2104-2-e,5,1.775.616.045,0,0,0,0,36.067.705.392.837.500
rodinia-kmeans-0-baseline,xcu200-fsgd2104-2-e,3.33,16.463.094.126.300.000,0,0,0,0,3.602.562.499.046.320
rodinia-kmeans-0-baseline,xczu7ev-ffvc1156-2-e,10,285.491.207,0,0,0,0,36.551.214.933.395.300
rodinia-kmeans-0-baseline,xczu7ev-ffvc1156-2-e,5,2.820.096.065,0,0,0,0,36.527.629.375.457.700
rodinia-kmeans-0-baseline,xczu7ev-ffvc1156-2-e,3.33,258.744.735.594,0,0,0,0,36.437.689.542.770.300
rodinia-knn-0-baseline,xcu200-fsgd2104-2-e,10,23.068.673,0,0,0,0,2.534.284.734.725.950
rodinia-knn-0-baseline,xcu200-fsgd2104-2-e,5,178.257.925,0,0,0,0,2.513.180.899.620.050
rodinia-knn-0-baseline,xcu200-fsgd2104-2-e,3.33,14.665.384.269,0,0,0,0,2.485.535.430.908.200
rodinia-knn-0-baseline,xczu7ev-ffvc1156-2-e,10,29.360.129,0,0,0,0,24.830.808.639.526.300
rodinia-knn-0-baseline,xczu7ev-ffvc1156-2-e,5,251.658.245,0,0,0,0,27.426.374.912.261.900
rodinia-knn-0-baseline,xczu7ev-ffvc1156-2-e,3.33,22.347.252.045.000.000,0,0,0,0,25.463.496.446.609.400
rodinia_lavaMD_1_tiling_0,xcu200-fsgd2104-2-e,10,86.579.546,0,0,0,0,3.471.786.570.549.010
rodinia_lavaMD_1_tiling_0,xcu200-fsgd2104-2-e,5,74.609.777,0,0,0,0,3.798.910.140.991.210
rodinia_lavaMD_1_tiling_0,xcu200-fsgd2104-2-e,3.33,6.551.434.341,0,0,0,0,37.981.502.056.121.800
rodinia_lavaMD_1_tiling_0,xczu7ev-ffvc1156-2-e,10,131.939.546,2,1,0,1,34.921.329.736.709.500
rodinia_lavaMD_1_tiling_0,xczu7ev-ffvc1156-2-e,5,113.489.885,2,1,0,1,3.798.915.195.465.080
rodinia_lavaMD_1_tiling_0,xczu7ev-ffvc1156-2-e,3.33,10.365.110.181,2,1,1,2,3.484.738.302.230.830
rodinia_cfd_step_factor_5_coalescing_0,xcu200-fsgd2104-2-e,10,25,1,0,0,0,42.504.658.222.198.400
rodinia_cfd_step_factor_5_coalescing_0,xcu200-fsgd2104-2-e,5,125,1,0,0,0,4.354.647.088.050.840
rodinia_cfd_step_factor_5_coalescing_0,xcu200-fsgd2104-2-e,3.33,0,1,0,0,0,4.347.046.136.856.070
rodinia_cfd_step_factor_5_coalescing_0,xczu7ev-ffvc1156-2-e,10,25,11,0,0,2,4.098.658.776.283.260
rodinia_cfd_step_factor_5_coalescing_0,xczu7ev-ffvc1156-2-e,5,125,11,0,0,2,42.370.474.338.531.400
rodinia_cfd_step_factor_5_coalescing_0,xczu7ev-ffvc1156-2-e,3.33,0,11,0,0,2,4.258.178.639.411.920
spcl_example_03,xcu200-fsgd2104-2-e,10,9.988.993,0,0,0,0,2.270.822.024.345.390
spcl_example_03,xcu200-fsgd2104-2-e,5,79.884.965,0,0,0,0,26.093.672.037.124.600
spcl_example_03,xcu200-fsgd2104-2-e,3.33,6.982.674.669,0,0,0,0,25.968.173.503.875.700
spcl_example_03,xczu7ev-ffvc1156-2-e,10,13.980.993,0,0,0,0,27.264.317.750.930.700
spcl_example_03,xczu7ev-ffvc1156-2-e,5,119.804.965,0,0,0,0,27.207.205.295.562.700
spcl_example_03,xczu7ev-ffvc1156-2-e,3.33,10.638.348.669,0,0,0,0,28.855.098.009.109.400
rodinia_streamcluster_0_baseline_0,xcu200-fsgd2104-2-e,10,624.645,0,0,0,0,2.651.166.820.526.120
rodinia_streamcluster_0_baseline_0,xcu200-fsgd2104-2-e,5,5.207.085,0,0,0,0,26.570.764.303.207.300
rodinia_streamcluster_0_baseline_0,xcu200-fsgd2104-2-e,3.33,484.553.295,0,0,0,0,26.362.958.192.825.300
rodinia_streamcluster_0_baseline_0,xczu7ev-ffvc1156-2-e,10,833.543,0,0,0,0,27.162.970.542.907.700
rodinia_streamcluster_0_baseline_0,xczu7ev-ffvc1156-2-e,5,8.314.945,0,0,0,0,27.037.598.609.924.300
rodinia_streamcluster_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,761.782.122,0,0,0,0,2.670.278.239.250.180
rodinia-kmeans-1-tiling,xcu200-fsgd2104-2-e,10,716.800.582,0,0,0,0,3.630.233.383.178.710
rodinia-kmeans-1-tiling,xcu200-fsgd2104-2-e,5,568.320.291,0,0,0,0,3.711.053.991.317.740
rodinia-kmeans-1-tiling,xcu200-fsgd2104-2-e,3.33,49.907.614.161.599.900,0,0,0,0,3.696.193.814.277.640
rodinia-kmeans-1-tiling,xczu7ev-ffvc1156-2-e,10,927.744.582,41,0,0,0,37.913.938.760.757.400
rodinia-kmeans-1-tiling,xczu7ev-ffvc1156-2-e,5,812.032.291,41,0,0,0,36.413.989.305.496.200
rodinia-kmeans-1-tiling,xczu7ev-ffvc1156-2-e,3.33,755.502.125.616,41,0,0,0,36.459.940.671.920.700
rodinia_cfd_step_factor_4_doublebuffer_0,xcu200-fsgd2104-2-e,10,25,1,0,0,0,33.619.354.248.046.800
rodinia_cfd_step_factor_4_doublebuffer_0,xcu200-fsgd2104-2-e,5,125,1,0,0,0,34.772.522.926.330.500
rodinia_cfd_step_factor_4_doublebuffer_0,xcu200-fsgd2104-2-e,3.33,0,1,0,0,0,3.467.038.679.122.920
rodinia_cfd_step_factor_4_doublebuffer_0,xczu7ev-ffvc1156-2-e,10,25,11,0,0,2,33.835.529.804.229.700
rodinia_cfd_step_factor_4_doublebuffer_0,xczu7ev-ffvc1156-2-e,5,125,11,0,0,2,33.651.278.257.369.900
rodinia_cfd_step_factor_4_doublebuffer_0,xczu7ev-ffvc1156-2-e,3.33,0,11,0,0,2,3.361.609.935.760.490
rodinia_cfd_step_factor_2_pipeline_0,xcu200-fsgd2104-2-e,10,67.588,0,0,0,0,25.230.250.358.581.500
rodinia_cfd_step_factor_2_pipeline_0,xcu200-fsgd2104-2-e,5,51.714,0,0,0,0,27.725.690.364.837.600
rodinia_cfd_step_factor_2_pipeline_0,xcu200-fsgd2104-2-e,3.33,41.943.347.999.999.900,0,0,0,0,29.000.439.405.441.200
rodinia_cfd_step_factor_2_pipeline_0,xczu7ev-ffvc1156-2-e,10,89.092,2,0,0,0,29.420.578.718.185.400
rodinia_cfd_step_factor_2_pipeline_0,xczu7ev-ffvc1156-2-e,5,7.373,2,0,0,0,2.944.132.089.614.860
rodinia_cfd_step_factor_2_pipeline_0,xczu7ev-ffvc1156-2-e,3.33,780.885,2,0,0,0,29.589.990.377.426.100
rodinia_streamcluster_4_coalescing_0,xcu200-fsgd2104-2-e,10,1.047,1,0,0,0,5.356.794.500.350.950
rodinia_streamcluster_4_coalescing_0,xcu200-fsgd2104-2-e,5,5.235,1,0,0,0,5.189.261.770.248.410
rodinia_streamcluster_4_coalescing_0,xcu200-fsgd2104-2-e,3.33,34.865.100.000.000.000,1,0,0,0,5.175.227.355.957.030
rodinia_streamcluster_4_coalescing_0,xczu7ev-ffvc1156-2-e,10,1.047,32,0,1,3,5.186.297.821.998.590
rodinia_streamcluster_4_coalescing_0,xczu7ev-ffvc1156-2-e,5,5.235,32,0,1,3,5.172.539.305.686.950
rodinia_streamcluster_4_coalescing_0,xczu7ev-ffvc1156-2-e,3.33,34.865.100.000.000.000,32,0,1,3,5.167.752.194.404.600
rodinia-kmeans-3-unroll,xcu200-fsgd2104-2-e,10,716.800.582,0,0,0,0,3.617.957.305.908.200
rodinia-kmeans-3-unroll,xcu200-fsgd2104-2-e,5,568.320.291,0,0,0,0,3.627.018.761.634.820
rodinia-kmeans-3-unroll,xcu200-fsgd2104-2-e,3.33,49.907.614.161.599.900,0,0,0,0,3.706.320.858.001.700
rodinia-kmeans-3-unroll,xczu7ev-ffvc1156-2-e,10,927.744.582,41,0,0,0,3.683.724.069.595.330
rodinia-kmeans-3-unroll,xczu7ev-ffvc1156-2-e,5,812.032.291,41,0,0,0,3.683.891.797.065.730
rodinia-kmeans-3-unroll,xczu7ev-ffvc1156-2-e,3.33,755.502.125.616,41,0,0,0,36.347.118.616.104.100
rodinia_cfd_flux_0_baseline_0,xcu200-fsgd2104-2-e,10,107.522,0,0,0,0,33.817.468.881.607.000
rodinia_cfd_flux_0_baseline_0,xcu200-fsgd2104-2-e,5,84.993,0,0,0,0,3.606.214.475.631.710
rodinia_cfd_flux_0_baseline_0,xcu200-fsgd2104-2-e,3.33,73.313.946,0,0,0,0,3.578.351.068.496.700
rodinia_cfd_flux_0_baseline_0,xczu7ev-ffvc1156-2-e,10,147.458,0,3,1,3,35.609.992.265.701.200
rodinia_cfd_flux_0_baseline_0,xczu7ev-ffvc1156-2-e,5,134.145,0,3,2,4,3.549.181.890.487.670
rodinia_cfd_flux_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,136.056.474,0,3,2,4,4.136.618.661.880.490
rodinia-backprop-0-baseline-forward,xcu200-fsgd2104-2-e,10,6.546.375,0,0,0,0,3.471.932.625.770.560
rodinia-backprop-0-baseline-forward,xcu200-fsgd2104-2-e,5,53.868.675,0,0,0,0,33.916.950.702.667.200
rodinia-backprop-0-baseline-forward,xcu200-fsgd2104-2-e,3.33,5.392.471.464,0,0,0,0,3.406.202.530.860.900
rodinia-backprop-0-baseline-forward,xczu7ev-ffvc1156-2-e,10,9.716.951,23,0,0,1,33.181.331.634.521.400
rodinia-backprop-0-baseline-forward,xczu7ev-ffvc1156-2-e,5,85.575.475,23,0,0,1,3.484.069.538.116.450
rodinia-backprop-0-baseline-forward,xczu7ev-ffvc1156-2-e,3.33,7.856.021.448,23,0,0,1,347.662.296.295.166
rodinia_cfd_step_factor_1_tiling_0,xcu200-fsgd2104-2-e,10,6.554,0,0,0,0,27.274.117.469.787.500
rodinia_cfd_step_factor_1_tiling_0,xcu200-fsgd2104-2-e,5,49.666,0,0,0,0,290.920.352.935.791
rodinia_cfd_step_factor_1_tiling_0,xcu200-fsgd2104-2-e,3.33,4.057.938,0,0,0,0,289.327.871.799.469
rodinia_cfd_step_factor_1_tiling_0,xczu7ev-ffvc1156-2-e,10,8.602,2,0,0,0,28.895.509.004.592.800
rodinia_cfd_step_factor_1_tiling_0,xczu7ev-ffvc1156-2-e,5,7.117,2,0,0,0,28.729.408.264.160.100
rodinia_cfd_step_factor_1_tiling_0,xczu7ev-ffvc1156-2-e,3.33,75.701.556,2,0,0,0,2.950.010.633.468.620
rodinia_dilate_3_pipeline_0,xcu200-fsgd2104-2-e,10,83.902.821,1,0,0,0,43.797.001.123.428.300
rodinia_dilate_3_pipeline_0,xcu200-fsgd2104-2-e,5,419.514.105,1,0,0,0,4.514.817.976.951.590
