Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4362.cpp,xcu200-fsgd2104-2-e,3.33,0.11798856,221,0,0,0,2,cyclic_16_1,cyclic_2_1,cyclic_8_1,block_4_1,block_2_1,block_2_1,unroll_8,pipeline_1,1,0.5,0.861051542025,False
workload_4625.cpp,xcu200-fsgd2104-2-e,3.33,0.11457864,156,0,0,0,1,cyclic_16_1,cyclic_32_1,block_2_1,block_4_1,cyclic_2_1,block_4_1,unroll_4,pipeline_1,1,0.25,0.87678677039,False
workload_4415.cpp,xcu200-fsgd2104-2-e,3.33,0.4303692,186,0,0,0,2,cyclic_16_1,cyclic_64_1,block_64_1,cyclic_8_1,block_2_1,cyclic_2_1,unroll_2,unroll_4,1,0.5,0.12162957213,False
workload_4457.cpp,xcu200-fsgd2104-2-e,3.33,0.43015608,181,0,0,0,2,cyclic_16_1,cyclic_64_1,block_64_1,cyclic_8_1,complete_1,cyclic_2_1,unroll_2,unroll_4,1,0.5,0.121775732546,False
workload_4496.cpp,xcu200-fsgd2104-2-e,3.33,0.07632693,297,0,2,3,4,cyclic_2_1,block_128_1,block_64_1,cyclic_2_1,cyclic_4_1,block_4_1,pipeline_1,pipeline_1,1,2.25,0.82175908009,False
workload_4338.cpp,xcu200-fsgd2104-2-e,3.33,0.07632693,293,0,2,3,4,cyclic_2_1,block_128_1,block_64_1,cyclic_2_1,cyclic_4_1,block_8_1,pipeline_1,unroll_4,1,2.25,0.82175908009,False
workload_4483.cpp,xcu200-fsgd2104-2-e,3.33,0.07632693,297,0,2,3,4,cyclic_2_1,block_128_1,block_64_1,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,1,2.25,0.82175908009,False
workload_4509.cpp,xcu200-fsgd2104-2-e,3.33,0.07721937,205,0,0,2,2,cyclic_2_1,block_16_1,block_64_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,1,1,0.952361028035,False
workload_4522.cpp,xcu200-fsgd2104-2-e,3.33,0.0771894,127,0,0,1,1,cyclic_2_1,block_2_1,block_8_1,block_4_1,block_4_1,complete_1,pipeline_1,unroll_8,1,0.5,0.984884214499,False
workload_4480.cpp,xcu200-fsgd2104-2-e,3.33,0.0771894,127,0,0,1,1,cyclic_2_1,block_2_1,block_8_1,cyclic_2_1,block_4_1,complete_1,pipeline_1,unroll_8,1,0.5,0.984884214499,False
workload_4541.cpp,xcu200-fsgd2104-2-e,3.33,0.0771894,131,0,0,1,1,cyclic_2_1,block_2_1,block_8_1,cyclic_4_1,block_4_1,complete_1,pipeline_1,unroll_8,1,0.5,0.984884214499,False
workload_4412.cpp,xcu200-fsgd2104-2-e,3.33,0.0771894,127,0,0,1,1,cyclic_2_1,block_2_1,block_8_1,cyclic_8_1,block_4_1,complete_1,pipeline_1,unroll_8,1,0.5,0.984884214499,False
workload_4788.cpp,xcu200-fsgd2104-2-e,3.33,0.07377948,144,0,0,1,1,cyclic_2_1,block_32_1,block_2_1,cyclic_8_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,1,0.5,0.999882331034,False
workload_4930.cpp,xcu200-fsgd2104-2-e,3.33,0.07377948,146,0,0,1,1,cyclic_2_1,block_32_1,cyclic_4_1,block_4_1,block_4_1,block_4_1,pipeline_1,unroll_8,1,0.5,0.999882331034,False
workload_4795.cpp,xcu200-fsgd2104-2-e,3.33,0.07377948,142,0,0,1,1,cyclic_2_1,block_32_1,cyclic_4_1,block_4_1,cyclic_2_1,block_4_1,pipeline_1,unroll_2,1,0.5,0.999882331034,False
workload_4912.cpp,xcu200-fsgd2104-2-e,3.33,0.07377948,145,0,0,1,1,cyclic_2_1,block_32_1,cyclic_4_1,complete_1,cyclic_2_1,block_4_1,pipeline_1,unroll_2,1,0.5,0.999882331034,False
workload_4701.cpp,xcu200-fsgd2104-2-e,3.33,0.07377948,142,0,0,1,1,cyclic_2_1,block_32_1,cyclic_4_1,cyclic_8_1,complete_1,complete_1,pipeline_1,unroll_2,1,0.5,0.999882331034,False
workload_4520.cpp,xcu200-fsgd2104-2-e,3.33,0.0771894,220,0,0,1,2,cyclic_2_1,block_32_1,cyclic_64_1,cyclic_8_1,complete_1,block_4_1,pipeline_1,unroll_4,1,0.75,0.960036319737,False
workload_4439.cpp,xcu200-fsgd2104-2-e,3.33,0.07721937,196,0,0,2,2,cyclic_2_1,block_4_1,block_64_1,cyclic_2_1,cyclic_4_1,block_8_1,pipeline_1,unroll_4,1,1,0.952361028035,False
workload_4458.cpp,xcu200-fsgd2104-2-e,3.33,0.07721937,195,0,0,2,2,cyclic_2_1,block_4_1,block_64_1,cyclic_8_1,cyclic_4_1,block_8_1,pipeline_1,unroll_4,1,1,0.952361028035,False
workload_4828.cpp,xcu200-fsgd2104-2-e,3.33,0.07377948,116,0,0,1,1,cyclic_2_1,block_4_1,cyclic_4_1,block_2_1,block_4_1,cyclic_8_1,pipeline_1,unroll_2,1,0.5,0.999882331034,False
workload_4713.cpp,xcu200-fsgd2104-2-e,3.33,0.3315348,138,0,0,0,1,cyclic_2_1,block_4_1,cyclic_4_1,block_2_1,complete_1,block_4_1,unroll_4,unroll_2,1,0.25,0.242222709608,False
workload_4631.cpp,xcu200-fsgd2104-2-e,3.33,0.07377948,117,0,0,1,1,cyclic_2_1,block_4_1,cyclic_4_1,block_2_1,cyclic_4_1,block_4_1,pipeline_1,pipeline_1,1,0.5,0.999882331034,False
workload_4543.cpp,xcu200-fsgd2104-2-e,3.33,0.07377948,116,0,0,1,1,cyclic_2_1,block_4_1,cyclic_4_1,block_2_1,cyclic_4_1,block_4_1,pipeline_1,unroll_2,1,0.5,0.999882331034,False
workload_4647.cpp,xcu200-fsgd2104-2-e,3.33,0.07377948,115,0,0,1,1,cyclic_2_1,block_4_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,1,0.5,0.999882331034,False
